4.7400	5.4500	4.2500	3.7500
4.4000	4.7400	5.4500	4.2500
4.4100	4.4000	4.7400	5.4500
4.1700	4.4100	4.4000	4.7400
4.4000	4.1700	4.4100	4.4000
4.5800	4.4000	4.1700	4.4100
4.4300	4.5800	4.4000	4.1700
5.2400	4.4300	4.5800	4.4000
7.0000	5.2400	4.4300	4.5800
7.5000	7.0000	5.2400	4.4300
9.1700	7.5000	7.0000	5.2400
11.7000	9.1700	7.5000	7.0000
8.6200	11.7000	9.1700	7.5000
8.4900	8.6200	11.7000	9.1700
8.0000	8.4900	8.6200	11.7000
8.6500	8.0000	8.4900	8.6200
8.9000	8.6500	8.0000	8.4900
8.9900	8.9000	8.6500	8.0000
8.9000	8.9900	8.9000	8.6500
8.9900	8.9000	8.9900	8.9000
11.8000	8.9900	8.9000	8.9900
11.5000	11.8000	8.9900	8.9000
10.4000	11.5000	11.8000	8.9900
10.4900	10.4000	11.5000	11.8000
9.5500	10.4900	10.4000	11.5000
9.7000	9.5500	10.4900	10.4000
9.3200	9.7000	9.5500	10.4900
9.3500	9.3200	9.7000	9.5500
9.0500	9.3500	9.3200	9.7000
9.2000	9.0500	9.3500	9.3200
10.0500	9.2000	9.0500	9.3500
9.0200	10.0500	9.2000	9.0500
8.8100	9.0200	10.0500	9.2000
8.1700	8.8100	9.0200	10.0500
8.8400	8.1700	8.8100	9.0200
8.3400	8.8400	8.1700	8.8100
8.1200	8.3400	8.8400	8.1700
7.7700	8.1200	8.3400	8.8400
7.2900	7.7700	8.1200	8.3400
7.3500	7.2900	7.7700	8.1200
7.5100	7.3500	7.2900	7.7700
7.3300	7.5100	7.3500	7.2900
8.0000	7.3300	7.5100	7.3500
8.7000	8.0000	7.3300	7.5100
8.2100	8.7000	8.0000	7.3300
8.4500	8.2100	8.7000	8.0000
8.0200	8.4500	8.2100	8.7000
8.0100	8.0200	8.4500	8.2100
7.9000	8.0100	8.0200	8.4500
8.0000	7.9000	8.0100	8.0200
7.9900	8.0000	7.9000	8.0100
9.0500	7.9900	8.0000	7.9000
